Código;Descripción
M08.18;Espondilitis anquilosante juvenil, otros
M08.19;Espondilitis anquilosante juvenil, sitio no especificado
M08.20;Artritis juvenil de comienzo generalizado, sitios múltiples
M08.23;Artritis juvenil de comienzo generalizado, antebrazo
M08.24;Artritis juvenil de comienzo generalizado, mano
M08.25;Artritis juvenil de comienzo generalizado, región pelviana y muslo
M08.26;Artritis juvenil de comienzo generalizado, pierna
M08.27;Artritis juvenil de comienzo generalizado, tobillo y pie
M08.28;Artritis juvenil de comienzo generalizado, otros
M08.29;Artritis juvenil de comienzo generalizado, sitio no especificado
M08.30;Poliartritis juvenil (seronegativa), sitios múltiples
M08.31;Poliartritis juvenil (seronegativa), región del hombro
M08.32;Poliartritis juvenil (seronegativa), brazo
M08.33;Poliartritis juvenil (seronegativa), antebrazo
M08.34;Poliartritis juvenil (seronegativa), mano
M08.35;Poliartritis juvenil (seronegativa), región pelviana y muslo
M08.36;Poliartritis juvenil (seronegativa), pierna
M08.37;Poliartritis juvenil (seronegativa), tobillo y pie
M08.38;Poliartritis juvenil (seronegativa), otros
M08.39;Poliartritis juvenil (seronegativa), sitio no especificado
M08.40;Artritis juvenil pauciarticular, sitios múltiples
M08.42;Artritis juvenil pauciarticular, brazo
M08.43;Artritis juvenil pauciarticular, antebrazo
M08.44;Artritis juvenil pauciarticular, mano
M08.45;Artritis juvenil pauciarticular, región pelviana y muslo
M08.46;Artritis juvenil pauciarticular, pierna
M08.47;Artritis juvenil pauciarticular, tobillo y pie
M08.48;Artritis juvenil pauciarticular, otros
M08.49;Artritis juvenil pauciarticular, sitio no especificado
M08.80;Otras artritis juveniles, sitios múltiples
M08.81;Otras artritis juveniles, región del hombro
M08.82;Otras artritis juveniles, brazo
M08.83;Otras artritis juveniles, antebrazo
M08.84;Otras artritis juveniles, mano
M08.85;Otras artritis juveniles, región pelviana y muslo
M08.86;Otras artritis juveniles, pierna
M08.87;Otras artritis juveniles, tobillo y pie
M08.88;Otras artritis juveniles, otros
M08.89;Otras artritis juveniles, sitio no especificado
M08.90;Artritis juvenil, no especificada, sitios múltiples
M08.92;Artritis juvenil, no especificada, brazo
M08.93;Artritis juvenil, no especificada, antebrazo
M08.94;Artritis juvenil, no especificada, mano
M08.95;Artritis juvenil, no especificada, región pelviana y muslo
M08.96;Artritis juvenil, no especificada, pierna
M08.97;Artritis juvenil, no especificada, tobillo y pie
M08.98;Artritis juvenil, no especificada, otros
M08.99;Artritis juvenil, no especificada, sitio no especificado
M09.00;Artritis juvenil en la psoriasis (L40.5 ), sitios múltiples
M09.01;Artritis juvenil en la psoriasis (L40.5 ), región del hombro
M09.02;Artritis juvenil en la psoriasis (L40.5 ), brazo
M09.03;Artritis juvenil en la psoriasis (L40.5 ), antebrazo
M09.04;Artritis juvenil en la psoriasis (L40.5 ), mano
M09.05;Artritis juvenil en la psoriasis (L40.5 ), región pelviana y muslo
M09.06;Artritis juvenil en la psoriasis (L40.5 ), pierna
M09.07;Artritis juvenil en la psoriasis (L40.5 ), tobillo y pie
M09.08;Artritis juvenil en la psoriasis (L40.5 ), otros
M09.09;Artritis juvenil en la psoriasis (L40.5 ), sitio no especificado
M09.10;Artritis juvenil en la enfermedad de Crohn [enteriti sregional] (K50.¿), sitios múltiples
M09.11;Artritis juvenil en la enfermedad de Crohn [enteriti sregional] (K50.¿), región del hombro
M09.12;Artritis juvenil en la enfermedad de Crohn [enteriti sregional] (K50.¿), brazo
M09.13;Artritis juvenil en la enfermedad de Crohn [enteriti sregional] (K50.¿), antebrazo
M09.14;Artritis juvenil en la enfermedad de Crohn [enteriti sregional] (K50.¿), mano
M09.15;Artritis juvenil en la enfermedad de Crohn [enteriti sregional] (K50.¿), región pelviana y muslo
M09.16;Artritis juvenil en la enfermedad de Crohn [enteriti sregional] (K50.¿), pierna
M09.17;Artritis juvenil en la enfermedad de Crohn [enteriti sregional] (K50.¿), tobillo y pie
M09.18;Artritis juvenil en la enfermedad de Crohn [enteriti sregional] (K50.¿), otros
M09.19;Artritis juvenil en la enfermedad de Crohn [enteriti sregional] (K50.¿), sitio no especificado
M09.20;Artritis juvenil en la colitis ulcerativa (K51.- ), sitios múltiples
M09.21;Artritis juvenil en la colitis ulcerativa (K51.- ), región del hombro
M09.22;Artritis juvenil en la colitis ulcerativa (K51.- ), brazo
M09.23;Artritis juvenil en la colitis ulcerativa (K51.- ), antebrazo
M09.24;Artritis juvenil en la colitis ulcerativa (K51.- ), mano
M09.25;Artritis juvenil en la colitis ulcerativa (K51.- ), región pelviana y muslo
M09.26;Artritis juvenil en la colitis ulcerativa (K51.- ), pierna
M09.27;Artritis juvenil en la colitis ulcerativa (K51.- ), tobillo y pie
M09.28;Artritis juvenil en la colitis ulcerativa (K51.- ), otros
M09.29;Artritis juvenil en la colitis ulcerativa (K51.- ), sitio no especificado
M09.80;Artritis juvenil en otras enfermedades clasificadas en otra parte, sitios múltiples
M09.81;Artritis juvenil en otras enfermedades clasificadas en otra parte, región del hombro
M09.82;Artritis juvenil en otras enfermedades clasificadas en otra parte, brazo
M09.83;Artritis juvenil en otras enfermedades clasificadas en otra parte, antebrazo
M09.84;Artritis juvenil en otras enfermedades clasificadas en otra parte, mano
M09.85;Artritis juvenil en otras enfermedades clasificadas en otra parte, región pelviana y muslo
M09.86;Artritis juvenil en otras enfermedades clasificadas en otra parte, pierna
M09.87;Artritis juvenil en otras enfermedades clasificadas en otra parte, tobillo y pie
M09.88;Artritis juvenil en otras enfermedades clasificadas en otra parte, otros
M09.89;Artritis juvenil en otras enfermedades clasificadas en otra parte, sitio no especificado
M10.00;Gota idiopática, sitios múltiples
M10.01;Gota idiopática, región del hombro
M10.02;Gota idiopática, brazo
M10.03;Gota idiopática, antebrazo
M10.04;Gota idiopática, mano
M10.05;Gota idiopática, región pelviana y muslo
M10.06;Gota idiopática, pierna
M10.07;Gota idiopática, tobillo y pie
M10.08;Gota idiopática, otros
M10.09;Gota idiopática, sitio no especificado
M10.10;Gota saturnina, sitios múltiples
M10.11;Gota saturnina, región del hombro
M10.12;Gota saturnina, brazo
M10.13;Gota saturnina, antebrazo
M10.14;Gota saturnina, mano
M10.15;Gota saturnina, región pelviana y muslo
M10.16;Gota saturnina, pierna
M10.17;Gota saturnina, tobillo y pie
M10.18;Gota saturnina, otros
M10.19;Gota saturnina, sitio no especificado
M10.20;Gota inducida por drogas, sitios múltiples
M10.21;Gota inducida por drogas, región del hombro
M10.22;Gota inducida por drogas, brazo
M10.23;Gota inducida por drogas, antebrazo
M10.24;Gota inducida por drogas, mano
M10.25;Gota inducida por drogas, región pelviana y muslo
M10.26;Gota inducida por drogas, pierna
M10.27;Gota inducida por drogas, tobillo y pie
M10.28;Gota inducida por drogas, otros
M10.29;Gota inducida por drogas, sitio no especificado
M10.30;Gota debida a alteración renal, sitios múltiples
M10.31;Gota debida a alteración renal, región del hombro
M10.32;Gota debida a alteración renal, brazo
M10.33;Gota debida a alteración renal, antebrazo
M10.34;Gota debida a alteración renal, mano
M10.35;Gota debida a alteración renal, región pelviana y muslo
M10.36;Gota debida a alteración renal, pierna
M10.37;Gota debida a alteración renal, tobillo y pie
M10.38;Gota debida a alteración renal, otros
M10.39;Gota debida a alteración renal, sitio no especificado
M10.40;Otras gotas secundarias, sitios múltiples
M10.41;Otras gotas secundarias, región del hombro
M10.42;Otras gotas secundarias, brazo
M10.43;Otras gotas secundarias, antebrazo
M10.44;Otras gotas secundarias, mano
M10.45;Otras gotas secundarias, región pelviana y muslo
M10.46;Otras gotas secundarias, pierna
M10.47;Otras gotas secundarias, tobillo y pie
M10.48;Otras gotas secundarias, otros
M10.49;Otras gotas secundarias, sitio no especificado
M10.90;Gota, no especificada, sitios múltiples
M10.91;Gota, no especificada, región del hombro
M10.92;Gota, no especificada, brazo
M10.93;Gota, no especificada, antebrazo
M10.94;Gota, no especificada, mano
M10.95;Gota, no especificada, región pelviana y muslo
M10.96;Gota, no especificada, pierna
M10.97;Gota, no especificada, tobillo y pie
M10.98;Gota, no especificada, otros
M10.99;Gota, no especificada, sitio no especificado
M11.00;Enfermedad por depósito de hidroxiapatita, sitios múltiples
M11.01;Enfermedad por depósito de hidroxiapatita, región del hombro
M11.02;Enfermedad por depósito de hidroxiapatita, brazo
M11.03;Enfermedad por depósito de hidroxiapatita, antebrazo
M11.04;Enfermedad por depósito de hidroxiapatita, mano
M11.05;Enfermedad por depósito de hidroxiapatita, región pelviana y muslo
M11.06;Enfermedad por depósito de hidroxiapatita, pierna
M11.07;Enfermedad por depósito de hidroxiapatita, tobillo y pie
M11.08;Enfermedad por depósito de hidroxiapatita, otros
M11.09;Enfermedad por depósito de hidroxiapatita, sitio no especificado
M11.10;Condrocalcinosis familiar, sitios múltiples
M11.11;Condrocalcinosis familiar, región del hombro
M11.12;Condrocalcinosis familiar, brazo
M11.13;Condrocalcinosis familiar, antebrazo
M11.14;Condrocalcinosis familiar, mano
M11.15;Condrocalcinosis familiar, región pelviana y muslo
M11.16;Condrocalcinosis familiar, pierna
M11.17;Condrocalcinosis familiar, tobillo y pie
M11.18;Condrocalcinosis familiar, otros
M11.19;Condrocalcinosis familiar, sitio no especificado
M11.20;Otras condrocalcinosis, sitios múltiples
M11.21;Otras condrocalcinosis, región del hombro
M11.22;Otras condrocalcinosis, brazo
M11.23;Otras condrocalcinosis, antebrazo
M11.24;Otras condrocalcinosis, mano
M11.25;Otras condrocalcinosis, región pelviana y muslo
M11.26;Otras condrocalcinosis, pierna
M11.27;Otras condrocalcinosis, tobillo y pie
M11.28;Otras condrocalcinosis, otros
M11.29;Otras condrocalcinosis, sitio no especificado
M11.80;Otras artropatías por cristales, especificadas, sitios múltiples
M11.81;Otras artropatías por cristales, especificadas, región del hombro
M11.82;Otras artropatías por cristales, especificadas, brazo
M11.83;Otras artropatías por cristales, especificadas, antebrazo
M11.84;Otras artropatías por cristales, especificadas, mano
M11.85;Otras artropatías por cristales, especificadas, región pelviana y muslo
M11.86;Otras artropatías por cristales, especificadas, pierna
M11.87;Otras artropatías por cristales, especificadas, tobillo y pie
M11.88;Otras artropatías por cristales, especificadas, otros
M11.89;Otras artropatías por cristales, especificadas, sitio no especificado
M11.90;Artropatía por cristales, no especificada, sitios múltiples
M11.91;Artropatía por cristales, no especificada, región del hombro
M11.92;Artropatía por cristales, no especificada, brazo
M11.93;Artropatía por cristales, no especificada, antebrazo
M11.94;Artropatía por cristales, no especificada, mano
M11.95;Artropatía por cristales, no especificada, región pelviana y muslo
M11.96;Artropatía por cristales, no especificada, pierna
M11.97;Artropatía por cristales, no especificada, tobillo y pie
M11.98;Artropatía por cristales, no especificada, otros
M11.99;Artropatía por cristales, no especificada, sitio no especificado
M12.00;Artropatía postreumática crónica [de Jaccoud], sitios múltiples
M12.01;Artropatía postreumática crónica [de Jaccoud], región del hombro
M12.02;Artropatía postreumática crónica [de Jaccoud], brazo
M12.03;Artropatía postreumática crónica [de Jaccoud], antebrazo
M12.04;Artropatía postreumática crónica [de Jaccoud], mano
M12.05;Artropatía postreumática crónica [de Jaccoud], región pelviana y muslo
M12.06;Artropatía postreumática crónica [de Jaccoud], pierna
M12.07;Artropatía postreumática crónica [de Jaccoud], tobillo y pie
M12.08;Artropatía postreumática crónica [de Jaccoud], otros
M12.09;Artropatía postreumática crónica [de Jaccoud], sitio no especificado
M12.10;Enfermedad de Kaschin-Beck, sitios múltiples
M12.11;Enfermedad de Kaschin-Beck, región del hombro
M12.12;Enfermedad de Kaschin-Beck, brazo
M12.13;Enfermedad de Kaschin-Beck, antebrazo
M12.14;Enfermedad de Kaschin-Beck, mano
M12.15;Enfermedad de Kaschin-Beck, región pelviana y muslo
M12.16;Enfermedad de Kaschin-Beck, pierna
M12.17;Enfermedad de Kaschin-Beck, tobillo y pie
M12.18;Enfermedad de Kaschin-Beck, otros
M12.19;Enfermedad de Kaschin-Beck, sitio no especificado
M12.20;Sinovitis vellonodular (pigmentada), sitios múltiples
M12.21;Sinovitis vellonodular (pigmentada), región del hombro
M12.22;Sinovitis vellonodular (pigmentada), brazo
M12.23;Sinovitis vellonodular (pigmentada), antebrazo
M12.24;Sinovitis vellonodular (pigmentada), mano
M12.25;Sinovitis vellonodular (pigmentada), región pelviana y muslo
M12.26;Sinovitis vellonodular (pigmentada), pierna
M12.27;Sinovitis vellonodular (pigmentada), tobillo y pie
M12.28;Sinovitis vellonodular (pigmentada), otros
M12.29;Sinovitis vellonodular (pigmentada), sitio no especificado
M12.30;Reumatismo palindrómico, sitios múltiples
M12.31;Reumatismo palindrómico, región del hombro
M12.32;Reumatismo palindrómico, brazo
M12.33;Reumatismo palindrómico, antebrazo
M12.34;Reumatismo palindrómico, mano
M12.35;Reumatismo palindrómico, región pelviana y muslo
M12.36;Reumatismo palindrómico, pierna
M12.37;Reumatismo palindrómico, tobillo y pie
M12.38;Reumatismo palindrómico, otros
M12.39;Reumatismo palindrómico, sitio no especificado
M12.40;Hidrartrosis intermitente, sitios múltiples
M12.41;Hidrartrosis intermitente, región del hombro
M12.42;Hidrartrosis intermitente, brazo
M12.43;Hidrartrosis intermitente, antebrazo
M12.44;Hidrartrosis intermitente, mano
M12.45;Hidrartrosis intermitente, región pelviana y muslo
M12.46;Hidrartrosis intermitente, pierna
M12.47;Hidrartrosis intermitente, tobillo y pie
M12.48;Hidrartrosis intermitente, otros
M12.49;Hidrartrosis intermitente, sitio no especificado
M12.50;Artropatía traumática, sitios múltiples
M12.51;Artropatía traumática, región del hombro
M12.52;Artropatía traumática, brazo
M12.53;Artropatía traumática, antebrazo
M12.54;Artropatía traumática, mano
M12.55;Artropatía traumática, región pelviana y muslo
M12.56;Artropatía traumática, pierna
M12.57;Artropatía traumática, tobillo y pie
M12.58;Artropatía traumática, otros
M12.59;Artropatía traumática, sitio no especificado
M12.80;Otras artropatías específicas, no clasificadas en otra parte, sitios múltiples
M12.81;Otras artropatías específicas, no clasificadas en otra parte, región del hombro
M12.82;Otras artropatías específicas, no clasificadas en otra parte, brazo
M12.83;Otras artropatías específicas, no clasificadas en otra parte, antebrazo
M12.84;Otras artropatías específicas, no clasificadas en otra parte, mano
M12.85;Otras artropatías específicas, no clasificadas en otra parte, región pelviana y muslo
M12.86;Otras artropatías específicas, no clasificadas en otra parte, pierna
M12.87;Otras artropatías específicas, no clasificadas en otra parte, tobillo y pie
M12.88;Otras artropatías específicas, no clasificadas en otra parte, otros
M12.89;Otras artropatías específicas, no clasificadas en otra parte, sitio no especificado
M13.00;Poliartritis, no especificada, sitios múltiples
